SalePrice,Size,Beds,Baths,Num_Garage,Year,Highway,Aircondition,SwimmingPool
360,3.032,4,4,2,1972,no,yes,no
340,2.058,4,2,2,1976,no,yes,no
250,1.78,4,3,2,1980,no,yes,no
205.5,1.638,4,2,2,1963,no,yes,no
275.5,2.196,4,3,2,1968,no,yes,no
248,1.966,4,3,5,1972,no,yes,yes
229.9,2.216,3,2,2,1972,no,yes,no
150,1.597,2,1,1,1955,no,yes,no
195,1.622,3,2,2,1975,no,yes,no
160,1.976,3,3,1,1918,no,no,no
190,2.812,7,5,2,1966,no,no,yes
559,2.791,3,4,3,1992,no,yes,no
535,3.381,5,4,3,1988,no,yes,no
525,3.459,5,4,2,1978,no,yes,no
299.9,2.09,3,3,2,1987,no,yes,no
527,3.232,5,5,2,1984,no,yes,no
169.9,1.502,2,2,2,1956,no,yes,no
335.25,2.747,3,4,2,1993,no,yes,no
323.9,2.89,4,3,2,1954,no,yes,no
200,1.825,3,3,2,1957,no,yes,no
211,1.578,4,3,2,1986,no,yes,no
212,1.763,3,3,2,1959,no,yes,no
245,2.517,4,3,2,1965,no,yes,no
140.4,1.872,3,2,2,1985,no,yes,no
295,3.266,3,3,2,1908,no,yes,no
170.9,2.02,1,2,1,1956,no,yes,no
229,2.164,4,2,2,1965,no,yes,no
218.5,2.08,3,2,2,1959,no,yes,yes
160,2.208,2,2,2,1985,no,yes,no
259,3.048,6,4,3,1960,no,yes,no
164.5,1.46,3,2,2,1978,no,yes,no
280,2.54,3,2,2,1940,no,no,no
154,2.208,2,2,2,1985,no,yes,no
272,2.56,4,2,3,1977,no,yes,no
180,2.061,4,2,2,1958,no,no,no
157.5,1.98,3,2,2,1957,no,yes,no
242.5,3.308,5,4,2,1928,no,yes,no
182,2.616,5,3,2,1955,no,no,no
178,1.46,4,2,2,1961,no,yes,no
171.9,1.58,2,1,1,1951,no,no,no
165.5,1.46,3,2,2,1960,no,yes,no
183.5,1.54,3,2,2,1992,no,yes,no
135,1.388,2,1,2,1951,no,no,no
175,1.624,3,2,2,1948,no,yes,no
149.5,1.58,2,1,2,1966,no,yes,no
177.5,1.82,3,2,2,1960,no,yes,no
155,1.733,4,1,1,1936,no,yes,no
145,1.896,3,2,2,1925,no,no,no
178,2.038,2,2,2,1918,no,no,no
156,1.436,3,2,3,1920,no,no,no
159,1.69,3,2,1,1922,no,no,no
160,1.496,2,2,1,1900,no,no,no
112,1.668,2,1,1,1948,no,no,no
84,0.98,1,1,1,1951,no,no,no
155,2.562,3,2,2,1885,no,no,no
360,2.304,5,4,3,1978,no,yes,no
104,1.268,2,1,1,1947,no,no,no
420,2.283,3,3,3,1997,yes,yes,no
355,2.06,2,3,2,1997,yes,yes,no
165,2.087,2,2,2,1966,yes,yes,no
244,2.081,4,2,2,1980,yes,yes,no
179.9,1.696,3,3,2,1978,yes,yes,no
253,2.222,4,2,2,1955,yes,no,no
200,2.11,5,3,2,1957,yes,yes,no
200,1.774,4,2,2,1963,yes,no,no
147.7,1.592,3,2,2,1957,yes,yes,no
188.7,1.748,3,2,2,1972,yes,yes,no
177,1.985,3,1,2,1948,yes,no,no
585,2.558,2,4,3,1984,no,yes,yes
549.9,4,6,5,3,1979,no,yes,yes
675,3.942,4,3,2,1990,no,yes,no
830,3.889,4,4,3,1991,no,yes,no
920,3.857,4,5,3,1997,no,yes,no
855,4.756,4,4,3,1990,no,yes,no
585.5,3.302,4,3,3,1982,no,yes,no
399,2.629,3,3,2,1989,no,yes,no
790,4.418,5,5,3,1997,no,yes,no
665,4.746,4,4,3,1996,no,yes,no
725,3.242,3,3,3,1989,no,yes,no
647,2.464,3,3,3,1992,no,yes,no
780,4.419,4,5,7,1987,no,yes,no
657.5,3.877,3,3,3,1992,no,yes,no
578,3.808,5,4,3,1982,no,yes,no
500,3.376,5,4,2,1947,no,yes,no
484.53,2.94,3,3,3,1979,no,yes,yes
609,2.654,5,3,3,1997,no,yes,no
635,2.672,4,3,3,1995,no,yes,no
519,3.386,4,4,3,1994,no,yes,no
625.1,3.648,4,4,3,1992,no,yes,no
585.444,3.455,4,5,3,1995,no,yes,no
399.9,3.321,3,4,3,1971,no,yes,yes
389.9,2.817,4,3,3,1996,no,yes,no
649,3.21,3,5,3,1995,no,yes,no
535,3.588,4,5,3,1987,no,yes,no
640,2.705,3,3,3,1994,no,yes,no
600,2.344,4,3,2,1925,no,yes,no
582.5,4.264,5,4,4,1995,no,yes,no
545,2.615,3,3,3,1996,no,yes,no
480,3.608,6,4,3,1981,no,yes,no
595,2.479,4,4,3,1989,no,yes,no
610,3.251,3,4,3,1985,no,yes,yes
570,2.547,2,3,3,1996,no,yes,no
479,5.032,7,3,3,1989,no,yes,no
545,4.973,6,6,3,1987,no,yes,yes
335,2.582,4,3,2,1966,no,yes,no
629,3.139,6,4,2,1977,no,yes,yes
505.5,3.516,4,4,3,1979,no,yes,no
370,2.936,4,4,3,1987,no,yes,no
529,3.351,5,4,3,1994,no,yes,no
490,3.136,4,4,3,1989,no,yes,no
535,3.525,4,5,3,1996,no,yes,no
612,3.917,6,5,3,1995,no,yes,no
442.5,2.702,4,3,3,1991,no,yes,no
500,3.644,3,4,3,1984,no,yes,no
539,3.072,4,4,3,1992,no,yes,no
545.5,3.233,4,4,3,1991,no,yes,no
424,2.918,4,4,3,1988,no,yes,no
325,3.266,4,3,3,1985,no,yes,no
367,2.94,4,7,2,1988,no,yes,no
470,3.43,3,4,2,1966,no,yes,yes
393,2.472,4,4,3,1987,no,yes,no
530,2.878,4,4,3,1992,no,yes,no
400,2.537,3,3,2,1993,no,yes,no
403.5,3.858,4,4,3,1987,no,yes,no
550,2.742,3,3,3,1991,no,yes,no
380,3.46,5,4,2,1972,no,yes,no
500,3.836,5,4,3,1982,no,yes,no
465,4.453,7,5,2,1974,no,yes,no
451.5,4.08,5,4,3,1983,no,yes,no
336,3.301,3,4,2,1977,no,yes,no
